customer_city,transaction_amount,geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
sao cristovao,7,49100.0,-10.929522387387994,-37.113912009412296,sao cristovao,SE
ipiau,7,45570.0,-14.131133999999996,-39.73698674999999,ipiau,BA
sao joao dos patos,7,65665.0,-6.489966289227173,-43.70020186566891,sao joao dos patos,MA
marmeleiro,7,85615.0,-26.14603294257512,-53.02583890310987,marmeleiro,PR
nhandeara,7,15190.0,-20.691381198603764,-50.04237071280033,nhandeara,SP
nova russas,7,62200.0,-4.718573972226268,-40.56079296286107,nova russas,CE
itapui,7,17230.0,-22.23625902550063,-48.72307610479663,itapui,SP
casca,7,99260.0,-28.56062215794538,-51.97692513057248,casca,RS
simao dias,7,49480.0,-10.745473500000005,-37.79926425000001,simao dias,SE
piedade de caratinga,7,35325.0,-19.75765428691413,-42.07399263371404,piedade de caratinga,MG
firminopolis,7,76105.0,-16.585863482898127,-50.30843734273628,firminopolis,GO
campo ere,7,89980.0,-26.399630726177463,-53.086045900753696,campo ere,SC
catende,7,55400.0,-8.670113637362366,-35.724458127981634,catende,PE
ruy barbosa,7,46800.0,-12.286438949954182,-40.50143616163704,ruy barbosa,BA
primeiro de maio,7,86140.0,-22.85022326086281,-51.02415831502344,primeiro de maio,PR
pirangi,7,15820.0,-21.10202696836105,-48.66381632676495,pirangi,SP
neropolis,7,75460.0,-16.408651554066854,-49.214304,neropolis,GO
pimenta bueno,7,76970.0,-11.672136948374265,-61.18828248403516,pimenta bueno,RO
teotonio vilela,7,57265.0,-9.91904378895249,-36.36049968037928,teotonio vilela,AL
silvania,7,75180.0,-16.662346239663066,-48.61064469363819,silvania,GO
paco do lumiar,7,65130.0,-2.5368706714640674,-44.17151545554634,paco do lumiar,MA
barra do corda,7,65950.0,-5.508554017485669,-45.23964287233554,barra do corda,MA
ibotirama,7,47520.0,-12.184853408392588,-43.216001091607424,ibotirama,BA
morro da fumaca,7,88830.0,-28.65891732327179,-49.21116169878975,morro da fumaca,SC
mucuri,7,39809.0,-19.92900537108313,-44.18320539855161,mucuri,MG
arroio do sal,7,95585.0,-29.48380099178912,-49.83993538512621,arroio do sal,RS
ipaussu,7,18950.0,-23.05035208242116,-49.62755542394423,ipaussu,SP
sao domingos,7,36675.0,-21.680366033343244,-42.78110479182775,sao domingos,MG
malacacheta,7,39690.0,-17.84600196564932,-42.074535098920734,malacacheta,MG
campo maior,7,64280.0,-4.827952238567884,-42.1610348778886,campo maior,PI
estiva gerbi,7,13857.0,-22.27535426816477,-46.950765182495694,estiva gerbi,SP
ivaipora,7,86870.0,-24.237456137353824,-51.65890263758289,ivaipora,PR
passo de torres,7,88980.0,-29.322193720594974,-49.72515474288599,passo de torres,SC
ribeirao bonito,7,13580.0,-22.064129300100667,-48.17887518860225,ribeirao bonito,SP
santo antonio do jacinto,7,39935.0,-16.539599848674634,-40.17097189256237,santo antonio do jacinto,MG
conceicao do araguaia,7,68540.0,-8.257777151569025,-49.26357210222097,conceicao do araguaia,PA
inhambupe,7,48490.0,-11.775837752625137,-38.36305996106292,inhambupe,BA
alpinopolis,7,37940.0,-20.871099247582563,-46.39264799098767,alpinopolis,MG
inhapim,7,35330.0,-19.51279414573376,-42.12905013627184,inhapim,MG
acopiara,7,63560.0,-6.095436548034048,-39.4520284644102,acopiara,CE
santo cristo,7,98960.0,-27.81562109697292,-54.66923595165062,santo cristo,RS
itambe,7,45140.0,-15.244950346861597,-40.62066759839507,itambe,BA
virginopolis,7,39730.0,-18.81807428213953,-42.70458448201647,virginopolis,MG
balneario pinhal,7,95599.0,-30.25683875758021,-50.23807818000815,balneario pinhal,RS
campanha,7,37400.0,-21.832580480823008,-45.40532063864941,campanha,MG
diamantino,7,78400.0,-14.398255299392998,-56.43550892176552,diamantino,MT
areal,7,25845.0,-22.26685135769777,-43.1075687506474,areal,RJ
cerro largo,7,97900.0,-28.14704544762608,-54.73552046611099,cerro largo,RS
morro do chapeu,7,44850.0,-11.546422707336166,-41.16540997017349,morro do chapeu,BA
piripiri,7,64260.0,-4.266378331490602,-41.77837489461923,piripiri,PI
nova veneza,7,75470.0,-16.370841844852297,-49.31686911424576,nova veneza,GO
tocantinopolis,7,77900.0,-6.318940925413076,-47.43493226202539,tocantinopolis,TO
timbauba,7,55870.0,-7.503762479715721,-35.31713364357345,timbauba,PE
codo,7,65400.0,-4.459910932714865,-43.880692216944,codo,MA
campos belos,7,73840.0,-13.03653845193694,-46.76822346421064,campos belos,GO
sao luis de montes belos,7,76100.0,-16.525054498657912,-50.3654766726809,sao luis de montes belos,GO
matupa,7,78525.0,-10.176144128645706,-54.93721743519397,matupa,MT
acailandia,7,65930.0,-4.958231788159988,-47.49347642059122,acailandia,MA
aparecida do taboado,7,79570.0,-20.075907019101248,-51.099754197904936,aparecida do taboado,MS
arraial d'ajuda,7,45816.0,-16.48006288480821,-39.06740132856377,arraial d'ajuda,BA
pirapetinga,7,36730.0,-21.661606230269783,-42.34394607533184,pirapetinga,MG
igarapava,7,14540.0,-20.041053762308174,-47.75366751993626,igarapava,SP
missal,7,85890.0,-25.09255022865972,-54.24551883757829,missal,PR
espumoso,7,99400.0,-28.730970788547925,-52.841267188979046,espumoso,RS
acreuna,7,75960.0,-17.40195455360714,-50.37053056738646,acreuna,GO
sao jose do norte,7,96225.0,-32.01383371747346,-52.042586386681535,sao jose do norte,RS
terra rica,7,87890.0,-22.73116132135527,-52.6159501365503,terra rica,PR
cansancao,7,48840.0,-10.668966503041071,-39.50042207887252,cansancao,BA
sao francisco de paula,7,35543.0,-20.70646928534441,-44.98813492280711,sao francisco de paula,MG
prudentopolis,7,84400.0,-25.20150185622089,-50.970647374151824,prudentopolis,PR
comodoro,7,78310.0,-13.666620560393325,-59.78814127857636,comodoro,MT
arceburgo,7,37820.0,-21.36382357197041,-46.934383053735424,arceburgo,MG
mozarlandia,7,76700.0,-14.748634131167314,-50.57128121158679,mozarlandia,GO
jaragua,7,76330.0,-15.746782747145032,-49.33373045721407,jaragua,GO
sao raimundo nonato,7,64770.0,-9.016731068114591,-42.6883204722722,sao raimundo nonato,PI
horizontina,7,98920.0,-27.61586773619327,-54.31070990694841,horizontina,RS
santa rita do araguaia,7,75840.0,-17.329339647441394,-53.19859834184064,santa rita do araguaia,GO
cruz,7,62595.0,-2.92365110618486,-40.175865560453445,cruz,CE
itacare,7,45530.0,-14.274911470763398,-38.99703199903161,itacare,BA
apiuna,7,89135.0,-27.104285999999945,-49.376370499999965,apiuna,SC
itabera,7,18440.0,-23.868128736258573,-49.14279364402826,itabera,SP
ipanema,7,36950.0,-19.80756827769869,-41.71851343380764,ipanema,MG
madre de deus,7,42600.0,-12.738051063597291,-38.60252746856557,madre de deus,BA
ubirata,7,85440.0,-24.552941779969952,-52.99142768075954,ubirata,PR
bicas,7,36600.0,-21.72653029708691,-43.06783127476915,bicas,MG
campinorte,7,76410.0,-14.317709932095248,-49.15370256644173,campinorte,GO
rubiataba,7,76350.0,-15.162389954785086,-49.80464393276295,rubiataba,GO
medeiros neto,7,45960.0,-17.371889587494103,-40.22622090938798,medeiros neto,BA
porto real,7,27570.0,-22.43916268954564,-44.31811155341612,porto real,RJ
cruzeiro do oeste,7,87400.0,-23.77770101189612,-53.09420292153244,cruzeiro do oeste,PR
sao domingos do norte,7,29745.0,-19.14712614516939,-40.62141283669344,sao domingos do norte,ES
rolim de moura,7,76940.0,-11.712917567901876,-61.775307472194704,rolim de moura,RO
bela vista de goias,7,75240.0,-16.969154699584582,-48.96010970583767,bela vista de goias,GO
nao-me-toque,7,99470.0,-28.457425460271256,-52.81974698675991,nao-me-toque,RS
luis antonio,7,14210.0,-21.55397791306265,-47.70050114604854,luis antonio,SP
bocaina,7,17240.0,-22.147358741536745,-48.52670850380465,bocaina,SP
avanhandava,7,16360.0,-21.45718696037475,-49.93831891323018,avanhandava,SP
dianopolis,7,77300.0,-11.627906717256852,-46.82146777001999,dianopolis,TO
ceu azul,7,85840.0,-25.15278140030201,-53.85388182469107,ceu azul,PR
astorga,7,86730.0,-23.23763897765151,-51.66808528142622,astorga,PR
guarani,7,36160.0,-21.357815107735316,-43.04932716732199,guarani,MG
sousa,7,58805.0,-6.771148659801056,-38.23821995067455,sousa,PB
bayeux,7,58307.0,-7.124757457244169,-34.938196309610895,bayeux,PB
divinolandia,7,13780.0,-21.659389939778173,-46.73813797473669,divinolandia,SP
tres cachoeiras,7,95580.0,-29.45485848637996,-49.92402425184136,tres cachoeiras,RS
sao bento do sapucai,7,12490.0,-22.690502768443626,-45.73678300545756,sao bento do sapucai,SP
nazare paulista,7,12960.0,-23.17431218902001,-46.43021905442664,nazare paulista,SP
taguatinga,7,71950.0,-15.839974444355102,-48.04327036252044,taguatinga,DF
vila muriqui,7,23870.0,-22.92219383988727,-43.94349730364039,vila muriqui,RJ
comendador levy gasparian,7,25870.0,-22.0296234152697,-43.20507649341323,comendador levy gasparian,RJ
sao gabriel do oeste,7,79490.0,-19.39474338733581,-54.56736123542357,sao gabriel do oeste,MS
barra da estiva,7,46650.0,-13.626367667837362,-41.32333173748239,barra da estiva,BA
limoeiro,7,55700.0,-7.875546293839904,-35.45206000178267,limoeiro,PE
bilac,7,16210.0,-21.401868898287308,-50.468934178259445,bilac,SP
santa albertina,7,15750.0,-20.037160821365887,-50.72697402209828,santa albertina,SP
currais novos,7,59380.0,-6.259081452175941,-36.51768110549936,currais novos,RN
entre rios de minas,7,35490.0,-20.74076193278888,-44.05583265923018,entre rios de minas,MG
bom conselho,7,55330.0,-9.171474107786908,-36.68549070545152,bom conselho,PE
santa maria madalena,7,28770.0,-21.95976220264771,-42.01238047476166,santa maria madalena,RJ
morungaba,7,13260.0,-22.866518037785752,-46.79872901119849,morungaba,SP
cocal,7,64235.0,-3.4733519871885465,-41.552137731754726,cocal,PI
alfredo chaves,7,29240.0,-20.63564596381401,-40.749096999405,alfredo chaves,ES
jeremoabo,6,48540.0,-9.868628404236617,-38.89767225678937,jeremoabo,BA
santa cruz,6,56215.0,-8.240242828074026,-40.33405694767048,santa cruz,PE
carlopolis,6,86420.0,-23.42923212388789,-49.71683909269892,carlopolis,PR
esperanca,6,58135.0,-7.014429343443029,-35.85691530081109,esperanca,PB
guapo,6,75350.0,-16.842418833119527,-49.54329134013575,guapo,GO
butia,6,96750.0,-30.12217326809831,-51.973542833120696,butia,RS
oeiras,6,64500.0,-7.0111733473162925,-42.12194744401073,oeiras,PI
abelardo luz,6,89830.0,-26.564002571112702,-52.32748699973988,abelardo luz,SC
reboucas,6,84550.0,-25.62456160218538,-50.69617321748903,reboucas,PR
ronda alta,6,99670.0,-27.783656327360223,-52.8078324850087,ronda alta,RS
pacaja,6,68485.0,-3.6998579999999457,-50.50819699999997,pacaja,PA
itapuranga,6,76680.0,-15.5623120756974,-49.955205109542334,itapuranga,GO
cachoeira de minas,6,37545.0,-22.3542269096183,-45.77375361641286,cachoeira de minas,MG
apiaca,6,29450.0,-21.15709213056911,-41.56442773822537,apiaca,ES
caninde,6,62700.0,-4.35771145747809,-39.31491288210802,caninde,CE
tres coroas,6,95660.0,-29.517801962425995,-50.765753555126814,tres coroas,RS
canapolis,6,38380.0,-18.72024141959117,-49.19778424278757,canapolis,MG
martins soares,6,36972.0,-20.257738478406303,-41.87764558521721,martins soares,MG
brazopolis,6,37530.0,-22.472389971299517,-45.60998525494555,brazopolis,MG
barbalha,6,63180.0,-7.314259964575111,-39.30379683942273,barbalha,CE
presidente olegario,6,38750.0,-18.415537018784622,-46.417114857557685,presidente olegario,MG
jeceaba,6,35498.0,-20.534054341121017,-43.986023888953135,jeceaba,MG
mallet,6,84570.0,-25.88013611979257,-50.833439675254354,mallet,PR
itaipulandia,6,85880.0,-25.137586656946542,-54.29549226248378,itaipulandia,PR
catigua,6,15870.0,-21.0637994365167,-49.06532771825836,catigua,SP
perdigao,6,35545.0,-19.956996833557923,-45.07394912215463,perdigao,MG
pacajus,6,62870.0,-4.169548530262665,-38.452197556058906,pacajus,CE
irapuru,6,17880.0,-21.564375406378986,-51.34768356138114,irapuru,SP
cassia,6,37980.0,-20.58157338497663,-46.92238246408787,cassia,MG
cosmorama,6,15530.0,-20.477835947989217,-49.77638850646207,cosmorama,SP
mata verde,6,39915.0,-15.687590535243412,-40.73823550712487,mata verde,MG
engenheiro paulo de frontin,6,26650.0,-22.544858200133547,-43.6851656978732,engenheiro paulo de frontin,RJ
sao goncalo do rio abaixo,6,35935.0,-19.825384710991383,-43.35890238504866,sao goncalo do rio abaixo,MG
camacan,6,45880.0,-15.414317002261669,-39.497913802834034,camacan,BA
benedito novo,6,89124.0,-26.775134152676948,-49.41645386388922,benedito novo,SC
bom principio,6,95765.0,-29.494709305969728,-51.36297006929719,bom principio,RS
alcinopolis,6,79530.0,-18.328193490816822,-53.71363198694216,alcinopolis,MS
paraiso,6,15825.0,-21.01293426665949,-48.77078312408376,paraiso,SP
general salgado,6,15300.0,-20.64559522100261,-50.35975947544415,general salgado,SP
rio largo,6,57100.0,-9.47663498549308,-35.85646721753975,rio largo,AL
pombal,6,58840.0,-6.767805037736034,-37.80071882007359,pombal,PB
sao joao do paraiso,6,28450.0,-21.414790266113123,-41.81382902330865,sao joao do paraiso,RJ
conquista,6,38195.0,-19.85706533423348,-47.58197138447653,conquista,MG
cruzeiro do sul,6,69980.0,-7.6311077241324385,-72.66670554881472,cruzeiro do sul,AC
rio das flores,6,27660.0,-22.15481536216779,-43.592772448519,rio das flores,RJ
cabreuva,6,13315.0,-23.299821440186975,-47.13776212614689,cabreuva,SP
turvo,6,85150.0,-25.04463564594593,-51.53867882668752,turvo,PR
tocantins,6,36512.0,-21.168374314444115,-43.03118284255877,tocantins,MG
eldorado,6,11960.0,-24.522633,-48.10619024999998,eldorado,SP
santa isabel do para,6,68790.0,-1.2932022160188472,-48.15939788775031,santa isabel do para,PA
monte alegre do sul,6,13820.0,-22.68402705105192,-46.680785765756205,monte alegre do sul,SP
joanopolis,6,12980.0,-22.9362091419113,-46.27513561550051,joanopolis,SP
uruara,6,68140.0,-3.714541388976968,-53.74081309218767,uruara,PA
gravatal,6,88735.0,-28.32603434263272,-49.06566380829775,gravatal,SC
mundo novo,6,44800.0,-11.863209252369307,-40.4704600448468,mundo novo,BA
sales oliveira,6,14660.0,-20.76161267843428,-47.84438278052354,sales oliveira,SP
itaobim,6,39625.0,-16.565448595098882,-41.50232910778616,itaobim,MG
nova trento,6,88270.0,-27.29179483303176,-48.92815174969478,nova trento,SC
medina,6,39620.0,-16.221089452445266,-41.47478396144617,medina,MG
guapiacu,6,15110.0,-20.788349306054016,-49.22697732034519,guapiacu,SP
fernando prestes,6,15940.0,-21.26939795334422,-48.68728548231494,fernando prestes,SP
tapes,6,96760.0,-30.683762999999995,-51.40264049999999,tapes,RS
taquaritinga do norte,6,55790.0,-7.966669999999965,-36.11666999999994,taquaritinga do norte,PE
campinas do sul,6,99660.0,-27.71885197126028,-52.62608527511285,campinas do sul,RS
carmo da mata,6,35547.0,-20.560695251372668,-44.86750449963131,carmo da mata,MG
realeza,6,36905.0,-20.246926500000004,-42.15331799999999,realeza,MG
carai,6,39810.0,-17.185850793204,-41.69796465537738,carai,MG
teixeiras,6,36580.0,-20.65774684630748,-42.8538524129238,teixeiras,MG
ipora do oeste,6,89899.0,-26.98109912694612,-53.53465037151178,ipora do oeste,SC
sao joao evangelista,6,39705.0,-18.548645207655657,-42.76701655884307,sao joao evangelista,MG
rio branco do sul,6,83540.0,-25.190294456773145,-49.32118393247951,rio branco do sul,PR
itaberai,6,76630.0,-16.01692125674349,-49.79044712431722,itaberai,GO
jacunda,6,68590.0,-4.451447337561674,-49.1179173853258,jacunda,PA
lima duarte,6,36140.0,-21.84803612175173,-43.81433567821044,lima duarte,MG
bady bassitt,6,15115.0,-20.9245222402303,-49.45780155372428,bady bassitt,SP
lajedo,6,55385.0,-8.658607499999995,-36.318078,lajedo,PE
espinosa,6,39510.0,-14.92497153716248,-42.81608962655504,espinosa,MG
itapura,6,15390.0,-20.64056223414505,-51.50988006195493,itapura,SP
sao jose do calcado,6,29470.0,-21.03364843509269,-41.65212828601736,sao jose do calcado,ES
ubaira,6,45310.0,-13.270080326691156,-39.66128487819644,ubaira,BA
cabrobo,6,56180.0,-8.512087572996801,-39.30738516529125,cabrobo,PE
pirai do sul,6,84240.0,-24.534586989874988,-49.94147712400756,pirai do sul,PR
pacaembu,6,17860.0,-21.56173959509541,-51.26475571000422,pacaembu,SP
sao jose da barra,6,37945.0,-20.76424619899846,-46.21645563215535,sao jose da barra,MG
cabedelo,6,58100.0,-6.969150385775098,-34.830321267063255,cabedelo,PB
amambai,6,79990.0,-23.095537793758137,-55.23559163402688,amambai,MS
campos de julio,6,78307.0,-13.721173638735763,-59.26540355947376,campos de julio,MT
borda da mata,6,37564.0,-22.264093569966427,-46.15856420525942,borda da mata,MG
espigao do oeste,6,76974.0,-11.52167206485777,-61.01306348804001,espigao do oeste,RO
mamanguape,6,58280.0,-6.825533064802394,-35.12509238324438,mamanguape,PB
canavieiras,6,45860.0,-15.67671561025265,-38.94519639615488,canavieiras,BA
seabra,6,46900.0,-12.417565593508437,-41.77085031745074,seabra,BA
camapua,6,79420.0,-19.53085086232352,-54.04152299911019,camapua,MS
santa rita de caldas,6,37775.0,-22.03374110992265,-46.33238183204734,santa rita de caldas,MG
itambacuri,6,39830.0,-18.034057229650728,-41.68218355469176,itambacuri,MG
regeneracao,6,64490.0,-6.231061238744403,-42.68808130859289,regeneracao,PI
orizona,6,75280.0,-17.037934989188315,-48.30019794135064,orizona,GO
california da barra,6,27163.0,-22.959028428791164,-42.82276239611844,california da barra,RJ
iacanga,6,17180.0,-21.89516953433172,-49.02618296668362,iacanga,SP
sao sepe,6,97340.0,-30.16723705939483,-53.56730096663081,sao sepe,RS
tangua,6,24890.0,-22.72662207250752,-42.7102437953172,tangua,RJ
casa nova,6,47300.0,-9.179158499999993,-40.97013075,casa nova,BA
sananduva,6,99840.0,-27.94764846190372,-51.81353672309405,sananduva,RS
cardoso moreira,6,28180.0,-21.48982398958829,-41.61580631338857,cardoso moreira,RJ
trancoso,6,45818.0,-16.59589463202838,-39.09926787523416,trancoso,BA
rio pomba,6,36180.0,-21.27270087424533,-43.176832075214286,rio pomba,MG
santo amaro de campos,6,28140.0,-8.048915598189788,-34.88038696915495,santo amaro de campos,RJ
catole do rocha,6,58884.0,-6.351909289510704,-37.75181651385692,catole do rocha,PB
nova santa rita,6,64764.0,-8.074864933538636,-42.049814643116704,nova santa rita,PI
torrinha,6,17360.0,-22.437478077083373,-48.17275356636137,torrinha,SP
itapaje,6,62600.0,-3.6871705465814535,-39.58861568012782,itapaje,CE
nova prata do iguacu,6,85685.0,-25.64044366516244,-53.34450735383426,nova prata do iguacu,PR
entre rios,6,48180.0,-11.93374395050816,-38.09763418045133,entre rios,BA
tupi paulista,6,17930.0,-21.38291083856337,-51.56972111900698,tupi paulista,SP
itariri,6,11760.0,-24.28999207181857,-47.175537103122046,itariri,SP
areado,6,37140.0,-21.363829214989323,-46.15311401204079,areado,MG
ibira,6,15860.0,-21.08267019848623,-49.23320623450742,ibira,SP
balsamo,6,15140.0,-20.733233092850437,-49.58874536520348,balsamo,SP
itapejara d'oeste,6,85580.0,-25.96338729196559,-52.81157455432807,itapejara d'oeste,PR
fronteira,6,38230.0,-20.28106922622964,-49.20926164154711,fronteira,MG
cardoso,6,15570.0,-20.07337070860132,-49.91260766329853,cardoso,SP
barcarena,6,68445.0,-1.5071125078676977,-48.62143344402136,barcarena,PA
apiai,6,18320.0,-24.47346038077872,-48.75588890754042,apiai,SP
jaru,6,76890.0,-10.445071058772832,-62.47033504399883,jaru,RO
rio novo do sul,6,29290.0,-20.86445270363737,-40.93655435181763,rio novo do sul,ES
catanduvas,6,85470.0,-25.20149782244086,-53.15418224606285,catanduvas,PR
quixeramobim,6,63800.0,-5.201972213254467,-39.28612031073634,quixeramobim,CE
jaiba,6,39508.0,-15.347885906450689,-43.67019941886099,jaiba,MG
cachoeira alta,6,75870.0,-18.758528226556148,-50.95121684538882,cachoeira alta,GO
juruaia,6,37805.0,-21.25143631560293,-46.57795763840745,juruaia,MG
presidente getulio,6,89150.0,-27.0558026497794,-49.626171791002086,presidente getulio,SC
vazante,6,38780.0,-17.991484082822545,-46.90967912536554,vazante,MG
aguas belas,6,55340.0,-9.109966500000002,-37.12290525,aguas belas,PE
jauru,5,78255.0,-15.338732835279885,-58.87402460657982,jauru,MT
barra do ribeiro,5,96790.0,-30.30264388166844,-51.317773442087216,barra do ribeiro,RS
alto boa vista,5,78665.0,-11.672235434747334,-51.37828852559497,alto boa vista,MT
araruna,5,58233.0,-6.536089543684674,-35.74425065533847,araruna,PB
marechal floriano,5,29255.0,-20.4154202422102,-40.67529451398038,marechal floriano,ES
paramirim,5,46190.0,-13.4467847516547,-42.24640499160228,paramirim,BA
aurora,5,63360.0,-6.942080677233729,-38.9698728399367,aurora,CE
pedra azul,5,39970.0,-15.999050421931406,-41.280258640299486,pedra azul,MG
santa fe,5,86770.0,-23.03861316010124,-51.81120701080037,santa fe,PR
rio casca,5,35370.0,-20.22462248291417,-42.64359330418742,rio casca,MG
capim grosso,5,44695.0,-11.384726377257865,-40.01348169601197,capim grosso,BA
japura,5,69495.0,-1.8805494250335493,-66.99896726703783,japura,AM
sao romao,5,39290.0,-16.363231208387,-45.07116107849313,sao romao,MG
itapagipe,5,38240.0,-19.89784652493589,-49.370916055336416,itapagipe,MG
iconha,5,29280.0,-20.794202816501414,-40.81036048086693,iconha,ES
antonio prado,5,95250.0,-28.848240941404573,-51.27329015376859,antonio prado,RS
saltinho,5,13440.0,-22.84948225596616,-47.68109670487482,saltinho,SP
monte azul,5,39500.0,-15.153967267226244,-42.87297150960752,monte azul,MG
soledade de minas,5,37478.0,-22.060582568707307,-45.0437186323439,soledade de minas,MG
quatis,5,27410.0,-22.412239826813543,-44.25979552602462,quatis,RJ
cassilandia,5,79540.0,-19.11358227631166,-51.73572123667424,cassilandia,MS
joao lisboa,5,65922.0,-5.450650432159658,-47.40242449487213,joao lisboa,MA
campos altos,5,38970.0,-19.694340546340555,-46.169670899679815,campos altos,MG
bataguassu,5,79780.0,-21.717182442785404,-52.42237346425372,bataguassu,MS
cidade gaucha,5,87820.0,-23.381002850443103,-52.9449678504431,cidade gaucha,PR
japuiba,5,28685.0,-22.55598517198416,-42.6907612914232,japuiba,RJ
sabinopolis,5,39750.0,-18.67521203692909,-43.084005108826936,sabinopolis,MG
agua branca,5,57490.0,-9.259948954082985,-37.93480438908667,agua branca,AL
tres fronteiras,5,15770.0,-20.23016673974443,-50.88638774105968,tres fronteiras,SP
lago da pedra,5,65715.0,-4.569409927828203,-45.13288472057774,lago da pedra,MA
holambra ii,5,18725.0,-23.427981000000003,-48.86913150000001,holambra ii,SP
eugenopolis,5,36855.0,-21.09981002282405,-42.17627449376193,eugenopolis,MG
orindiuva,5,15480.0,-20.189088281164857,-49.35644319628796,orindiuva,SP
guaranta do norte,5,78520.0,-9.948511831513258,-54.91457350473809,guaranta do norte,MT
diamante do norte,5,87990.0,-22.66032933722349,-52.8643215,diamante do norte,PR
dom eliseu,5,68633.0,-4.29672359708408,-47.56233693998556,dom eliseu,PA
sao benedito,5,62370.0,-4.043724769314581,-40.86803543271508,sao benedito,CE
lagoa da confusao,5,77493.0,-10.78600479476781,-49.61819438694136,lagoa da confusao,TO
sao miguel do guama,5,68660.0,-1.6223861305325618,-47.4765860416628,sao miguel do guama,PA
moreno,5,54800.0,-8.115659081703685,-35.09941870029632,moreno,PE
sao jose do ouro,5,99870.0,-27.772125357679496,-51.59681239628196,sao jose do ouro,RS
panorama,5,17980.0,-21.362307677836903,-51.86346633891845,panorama,SP
miguel calmon,5,44720.0,-11.433782960882912,-40.59994790874497,miguel calmon,BA
conceicao do castelo,5,29370.0,-20.35668830902301,-41.24370686119767,conceicao do castelo,ES
guaracai,5,16980.0,-21.03946776150677,-51.20923316938868,guaracai,SP
guaraniacu,5,85400.0,-25.106045339994,-52.849549560003695,guaraniacu,PR
feira nova,5,49670.0,-10.261235106340797,-37.3113546710989,feira nova,SE
joviania,5,75610.0,-17.806073102087684,-49.63023897191318,joviania,GO
palmares do sul,5,95540.0,-30.26306781683276,-50.51888348892597,palmares do sul,RS
macaiba,5,59280.0,-5.862482865420898,-35.344513728787064,macaiba,RN
icapui,5,62810.0,-4.702323542471136,-37.36329417004472,icapui,CE
roque gonzales,5,97970.0,-28.13195164761059,-55.02509246672582,roque gonzales,RS
sirinhaem,5,55580.0,-8.61858276547123,-35.1111018918898,sirinhaem,PE
guaranta,5,16570.0,-21.892917503348645,-49.5881974694828,guaranta,SP
jacupiranga,5,11940.0,-24.715799471973146,-48.00772649327381,jacupiranga,SP
brauna,5,16290.0,-21.500564371516557,-50.31810973448505,brauna,SP
alexania,5,72930.0,-16.07894583238036,-48.51634933675774,alexania,GO
tres barras,5,89490.0,-26.107966099591287,-50.30785081925657,tres barras,SC
pacatuba,5,49970.0,-10.44016057843289,-36.65597465060332,pacatuba,SE
ourilandia do norte,5,68390.0,-6.751356880784805,-51.06960485375688,ourilandia do norte,PA
seara,5,89770.0,-27.147905298084144,-52.309373018870126,seara,SC
juara,5,78575.0,-11.254312893133177,-57.51090240607533,juara,MT
sooretama,5,29927.0,-19.191743691126817,-40.09591094640488,sooretama,ES
senges,5,84220.0,-24.11443747897362,-49.45979539247262,senges,PR
arcoverde,5,56519.0,-8.417775423616026,-37.04214824442487,arcoverde,PE
garuva,5,89248.0,-26.02136726871851,-48.851805442616914,garuva,SC
paulo frontin,5,84635.0,-26.064506999999946,-50.75004499999996,paulo frontin,PR
itauba,5,78510.0,-11.005224674973045,-55.238799075857465,itauba,MT
guarei,5,18250.0,-23.373194569674688,-48.18716800437105,guarei,SP
estacao,5,99930.0,-27.91795638639281,-52.26058721336962,estacao,RS
rio azul,5,84560.0,-25.73373749374235,-50.79613989435896,rio azul,PR
jaguaribe,5,63475.0,-5.884427610653892,-38.609923946730525,jaguaribe,CE
cidreira,5,95595.0,-30.17105570679884,-50.201594169231335,cidreira,RS
rafard,5,13370.0,-23.021344682864957,-47.528427787992975,rafard,SP
livramento de nossa senhora,5,46140.0,-13.649606510639636,-41.84169289659037,livramento de nossa senhora,BA
macau,5,59500.0,-5.110823178027693,-36.634970094311726,macau,RN
vargem alta,5,29295.0,-20.522855653629467,-40.98712856025383,vargem alta,ES
custodia,5,56640.0,-8.093576009155354,-37.65041050065395,custodia,PE
cunha pora,5,89890.0,-26.89233198750598,-53.170050234099904,cunha pora,SC
terra de areia,5,95535.0,-29.57613305991566,-50.06257782797623,terra de areia,RS
miracatu,5,11850.0,-24.281284365679756,-47.44564358336644,miracatu,SP
santa quiteria,5,62280.0,-4.341212388992672,-40.150622449566335,santa quiteria,CE
andorinha,5,48990.0,-10.345014304318816,-39.8364493454778,andorinha,BA
castelandia,5,75925.0,-18.090976503519045,-50.225451480484125,castelandia,GO
grajau,5,65940.0,-5.814610428046795,-46.1428008686233,grajau,MA
iraquara,5,46980.0,-12.279907080447131,-41.5161318877817,iraquara,BA
tarabai,5,19210.0,-22.30463335195659,-51.55676672059855,tarabai,SP
dom feliciano,5,96190.0,-30.703343334292004,-52.10869514478124,dom feliciano,RS
tabira,5,56780.0,-7.599095527886835,-37.53589447599233,tabira,PE
vargem bonita,5,37922.0,-20.329812260976027,-46.37449829653123,vargem bonita,MG
capivari de baixo,5,88745.0,-28.451195796978386,-48.9480281963324,capivari de baixo,SC
cambuquira,5,37420.0,-21.854581550637352,-45.31129465341778,cambuquira,MG
quatigua,5,86450.0,-23.57524580904836,-49.91439940452419,quatigua,PR
